Rest Area Type	Name	Description	Location	Accessible From	X Coord	Y Coord	Responsible Authority	Facilities
Light Vehicle Rest Area	Wallagaraugh Rest Area N/B	"PRINCES HIGHWAY, NR VICTORIAN BORDER"	43km South of Eden	Both Directions	-37.36932	149.71491	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Truck Park near Victorian Border S/B	"MONARO HIGHWAY, NR VICTORIAN BORDER"	41km South of Bombala	Both Directions	-37.2248	149.28631	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Rest Area near Victorian Border N/B	"MONARO HIGHWAY, NR VICTORIAN BORDER"	41km South of Bombala	Both Directions	-37.22444	149.28693	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Information Bay near Victorian Border N/B	"MONARO HIGHWAY, NR VICTORIAN BORDER"	40km South of Bombala	Both Directions	-37.223	149.29268	Council	Litter Bins
Light Vehicle Rest Area	Scubby Creek Rest Area N/B	"PRINCES HIGHWAY, EDEN"	22km South of Eden	Both Directions	-37.22243	149.83029	State Forests	"Toilets, Shelter, Picnic Tables, Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Edrom Rd Rest Area S/B	"PRINCES HIGHWAY, EDEN"	19.5km South of Eden	Northbound	-37.20492	149.84435	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Edrom Rd Rest Area N/B	"PRINCES HIGHWAY, EDEN"	19.5km South of Eden	Southbound	-37.20277	149.84526	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Light Vehicle Rest Area	Information Bay south of Eden	"BOYD ST, EDEN"	1km South of Eden	Southbound	-37.06406	149.8947	Council	Picnic Tables
Light Vehicle Rest Area	Bombala Rest Area S/B	"MAHRATTA ST, BOMBALA"	At Bombala	Both Directions	-36.90849	149.23914	Council	"Toilets, Shelter, Picnic Tables, Playground, Litter Bins"
Load Checking Area	South of Bombala Truck Parking	"MAHRATTA ST, BOMBALA"	At Bombala	Both Directions	-36.90754	149.23947	Roads and Maritime Services	
Load Checking Area	Truck park opp Bombala Historic Engine	"MAHRATTA ST, BOMBALA"	At Bombala	Westbound	-36.90654	149.24121	Roads and Maritime Services	
Light Vehicle Rest Area	Yellow Pinch Dam Rest Area N/B	"PRINCES HIGHWAY, MERIMBULA"	22km South of Bega	Both Directions	-36.8511	149.81279	State Forests	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Light Vehicle Rest Area	Bega Lookout S/B	"PRINCES HWY, BEGA"	5km North of Bega	Both Directions	-36.64486	149.82359	Council	"Picnic Tables, Litter Bins"
Light Vehicle Rest Area	Rest Area at Colombo Creek Bemboka	"SNOWY MOUNTAINS HIGHWAY, BEMBOKA"	35km West of Bega	Both Directions	-36.63384	149.57734	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins"
Load Checking Area	Nunnock River Uncoupling Bay	"SNOWY MOUNTAINS HIGHWAY, BEMBOKA"	6km West of Bemboka	Both Directions	-36.61386	149.50309	Roads and Maritime Services	Litter Bins
Load Checking Area	Brown Mtn Uncoupling Bay E/B	"SNOWY MOUNTAINS HIGHWAY, BEMBOKA"	17km West of Bemboka	Both Directions	-36.6091	149.43192	Roads and Maritime Services	Litter Bins
Load Checking Area	Brown Mtn Coupling Bay W/B	"SNOWY MOUNTAINS HIGHWAY, BEMBOKA"	17km West of Bemboka	Both Directions	-36.60857	149.43212	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Fred Pipers Lookout Brown Mountain	"SNOWY MOUNTAINS HIGHWAY, BEMBOKA"	15km West of Bemboka	Both Directions	-36.59724	149.44439	National Parks and Wildlife Service	"Toilets, Picnic Tables, Litter Bins,Wheelchair Accessible"
Light Vehicle Rest Area	Tom Groggin Rest Area	"ALPINE WAY, THREDBO VILLAGE"	24km South of Thredbo	Both Directions	-36.53825	148.13504	National Parks and Wildlife Service	"Toilets, Picnic Tables, Wheelchair Accessible"
Light Vehicle Rest Area	Leatherbarrel Creek Rest Area	"ALPINE WAY, THREDBO VILLAGE"	17km South of Thredbo	Both Directions	-36.52602	148.19338	National Parks and Wildlife Service	"Toilets, Picnic Tables, Wheelchair Accessible"
Light Vehicle Rest Area	Dead Horse Gap	"ALPINE WAY, THREDBO VILLAGE"	6km South of Thredbo	Both Directions	-36.52421	148.26004	National Parks and Wildlife Service	
Heavy and Light Vehicle Rest Area	Cascades Information Bay	"ALPINE WAY, THREDBO VILLAGE"	5km South of Thredbo	Both Directions	-36.52287	148.26225	National Parks and Wildlife Service	
Heavy and Light Vehicle Rest Area	Lake Williams Nimmtabel N/B	"BOMBALA ST, NIMMITABEL"	At Nimmitabel	Both Directions	-36.51503	149.28211	Council	"Toilets, Shelter, Picnic Tables, BBQ Facilities, Litter Bins,Wheelchair Accessible"
Load Checking Area	Truck Parking near Lake Williams S/B	"BOMBALA ST, NIMMITABEL"	At Nimmitabel	Both Directions	-36.51496	149.28275	Roads and Maritime Services	
Load Checking Area	Truck Parking near Lake Williams N/B	"BOMBALA ST, NIMMITABEL"	At Nimmitabel	Southbound	-36.51493	149.28253	Roads and Maritime Services	
Light Vehicle Rest Area	3.5km North of Thredbo	"ALPINE WAY, THREDBO VILLAGE"	31km South of Jindabyne	Both Directions	-36.4832	148.34665	National Parks and Wildlife Service	Picnic Tables
Heavy and Light Vehicle Rest Area	Quaama Rest Area N/B	"PRINCES HIGHWAY, COBARGO"	29km North of Bega	Southbound	-36.47558	149.86311	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Light Vehicle Rest Area	Dry Creek Quaama S/B	"PRINCES HIGHWAY, COBARGO"	12km South of Cobargo	Both Directions	-36.46832	149.86632	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Light Vehicle Rest Area	Ngarigo Rest Area	"ALPINE WAY, THREDBO VILLAGE"	26km South of Jindabyne	Both Directions	-36.45818	148.38706	National Parks and Wildlife Service	"Toilets, Picnic Tables, Wheelchair Accessible"
Light Vehicle Rest Area	Thredbo Diggings	"ALPINE WAY, THREDBO VILLAGE"	22km South of Jindabyne	Both Directions	-36.45058	148.42309	National Parks and Wildlife Service	"Toilets, Picnic Tables, Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Information Bay Skitube Park Entrance	"ALPINE WAY, JINDABYNE"	20km South of Jindabyne	Both Directions	-36.44947	148.44413	National Parks and Wildlife Service	Shelter
Light Vehicle Rest Area	Spencers Creek	"KOSCIUSZKO ROAD, CHARLOTTES PASS"	38km West of Jindabyne	Both Directions	-36.42913	148.36006	National Parks and Wildlife Service	Picnic Tables 
Light Vehicle Rest Area	Jindabyne Information Bay nr Banjo Paterson Inn	"KOSCIUSZKO ROAD, JINDABYNE"	At Jindabyne	Both Directions	-36.41565	148.62424	Council	Litter Bins
Light Vehicle Rest Area	Geehi Rest Area	"ALPINE WAY, NR KHANCOBAN"	79km from Jindabyne and  31km to Khancoban	Both Directions	-36.38526	148.18154	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Information Bay West of Jindabyne	"KOSCIUSZKO ROAD, JINDABYNE"	7.6km West of Jindabyne	Both Directions	-36.37855	148.59469	National Parks and Wildlife Service	Shelter
Light Vehicle Rest Area	Little Thredbo River Rest Area W/B	"KOSCIUSZKO ROAD, JINDABYNE"	9km West of Jindabyne	Both Directions	-36.36932	148.58909	National Parks and Wildlife Service	"Toilets, Shelter, Picnic Tables, BBQ Facilities, Wheelchair Accessible"
Light Vehicle Rest Area	Bogong Creek Park Area	"ALPINE WAY, NR KHANCOBAN"	84km from Jindabyne and  26km to Khancoban	Both Directions	-36.35603	148.20312	Roads and Maritime Services	
Light Vehicle Rest Area	Sawpit Rest Area	"KOSCIUSZKO ROAD, JINDABYNE"	15km West of Jindabyne	Both Directions	-36.35067	148.56359	National Parks and Wildlife Service	"Toilets, Picnic Tables, Wheelchair Accessible"
Light Vehicle Rest Area	Jindabyne Surge Tank Lookout E/B	"KOSCIUSZKO ROAD, JINDABYNE"	13km North of Jindabyne	Both Directions	-36.34213	148.58031	National Parks and Wildlife Service	
Heavy and Light Vehicle Rest Area	Bobundara Rest Area Tilba N/B	"PRINCES HIGHWAY, CENTRAL TILBA"	16km South of Narooma	Both Directions	-36.32257	150.07167	Roads and Maritime Services	"Picnic Tables, Litter Bins"
Light Vehicle Rest Area	Information Bay Kosciuszko Park S/B	"MONARO HIGHWAY, COOMA"	3km North of Cooma	Eastbound	-36.21823	149.13701	Council	"Shelter, Picnic Tables"
Light Vehicle Rest Area	Bodalla Park Rest Area	"PRINCES HIGHWAY, BODALLA"	11km North of Narooma	Both Directions	-36.15079	150.09595	State Forests	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Halls	"COBB HIGHWAY, MOAMA"	4km from Echuca (VIC) and  72km to Deniliquin	Both Directions	-36.09131	144.75122	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area	Hume Weir Park	"RIVERINA HIGHWAY, HUME WEIR"	1km from  Bethanga  and 15km to Albury	Westbound	-36.08942	147.0495	Council	"Toilets, Shelter, Picnic Tables, BBQ Facilities, Litter Bins"
Heavy and Light Vehicle Rest Area	Halls	"COBB HIGHWAY, MOAMA"	5km from Echuca (VIC) and  72km to Deniliquin	Both Directions	-36.08888	144.75014	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area	Numeralla River Rest Area N/B	"MONARO HIGHWAY, COOMA"	20km North of Cooma	Both Directions	-36.07727	149.15957	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Light Vehicle Rest Area	The Keyhole	"COBB HIGHWAY, MOAMA"	12km from Echuca (VIC) and  65km to Deniliquin	Both Directions	-36.03557	144.77849	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Nine Mile	"COBB HIGHWAY, MOAMA"	20km from Echuca (VIC) and  56km to Deniliquin	Both Directions	-35.98429	144.8456	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Eleven Mile	"COBB HIGHWAY, MOAMA"	22km from Echuca (VIC) and  55km to Deniliquin	Both Directions	-35.97319	144.85648	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area	Bredbo Rest Area (Centennial Park)	"MONARO HIGHWAY, BREDBO"	At Bredbo	Both Directions	-35.95218	149.14567	Council	"Toilets, Shelter, Picnic Tables, BBQ Facilities, Playground, Litter Bins"
